region,ticker,display_ticker,company,industry_model_class,valuation_basis,current_multiple,own_history_mid,peer_history_mid,fair_mid,fair_low,fair_high,valuation_gap_pct,history_months,data_status,note
US,ROK,ROK,Rockwell Automation,零組件 / 連接器 / 電源 / 散熱,Forward PE,31.080856,,28.469268,28.469268,22.200745,37.917692,0.091734,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,PH,PH,Parker-Hannifin,零組件 / 連接器 / 電源 / 散熱,Forward PE,24.821735,,28.469268,28.469268,22.200745,37.917692,-0.128122,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,HON,HON,Honeywell,零組件 / 連接器 / 電源 / 散熱,Forward PE,20.762157,,28.469268,28.469268,22.200745,37.917692,-0.270717,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,JCI,JCI,Johnson Controls,零組件 / 連接器 / 電源 / 散熱,Forward PE,23.547224,,28.469268,28.469268,22.200745,37.917692,-0.17289,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,TT,TT,Trane Technologies,零組件 / 連接器 / 電源 / 散熱,Forward PE,26.508745,,28.469268,28.469268,22.200745,37.917692,-0.068865,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CARR,CARR,Carrier,零組件 / 連接器 / 電源 / 散熱,Forward PE,19.952703,,28.469268,28.469268,22.200745,37.917692,-0.299149,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MOD,MOD,Modine,零組件 / 連接器 / 電源 / 散熱,Forward PE,24.376793,,28.469268,28.469268,22.200745,37.917692,-0.143751,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,AAON,AAON,AAON,零組件 / 連接器 / 電源 / 散熱,Forward PE,42.58809,,28.469268,28.469268,22.200745,37.917692,0.495932,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,PWR,PWR,Quanta Services,成熟複利 / 工程服務,Forward PE,43.283466,,22.049107,22.049107,14.333721,32.802518,0.963048,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,MTZ,MTZ,MasTec,成熟複利 / 工程服務,Forward PE,32.280796,,22.049107,22.049107,14.333721,32.802518,0.464041,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,DY,DY,Dycom,成熟複利 / 工程服務,Forward PE,26.031883,,22.049107,22.049107,14.333721,32.802518,0.180632,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,ACM,ACM,AECOM,成熟複利 / 工程服務,Forward PE,10.323362,,22.049107,22.049107,14.333721,32.802518,-0.531801,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,FIX,FIX,Comfort Systems USA,成熟複利 / 工程服務,Forward PE,34.367683,,22.049107,22.049107,14.333721,32.802518,0.558688,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,GVA,GVA,Granite Construction,成熟複利 / 工程服務,Forward PE,18.066332,,22.049107,22.049107,14.333721,32.802518,-0.180632,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,FLR,FLR,Fluor,成熟複利 / 工程服務,Forward PE,13.874697,,22.049107,22.049107,14.333721,32.802518,-0.370737,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,J,J,Jacobs,成熟複利 / 工程服務,Forward PE,14.486729,,22.049107,22.049107,14.333721,32.802518,-0.342979,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CAT,CAT,Caterpillar,資本設備 / 轉機或成長,Forward PE,29.378874,,27.214564,27.214564,23.629231,38.411583,0.079528,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CMI,CMI,Cummins,資本設備 / 轉機或成長,Forward PE,19.366163,,27.214564,27.214564,23.629231,38.411583,-0.28839,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,GNRC,GNRC,Generac,資本設備 / 轉機或成長,Forward PE,25.050253,,27.214564,27.214564,23.629231,38.411583,-0.079528,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,BE,BE,Bloom Energy,資本設備 / 轉機或成長,Forward PE,65.50971,,27.214564,27.214564,23.629231,38.411583,1.407156,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,FCEL,FCEL,FuelCell Energy,資本設備 / 轉機或成長,Forward PE,-11.868493,,27.214564,27.214564,23.629231,38.411583,-1.436108,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,PLUG,PLUG,Plug Power,資本設備 / 轉機或成長,Forward PE,-24.042852,,27.214564,27.214564,23.629231,38.411583,-1.883455,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,BLDP,BLDP,Ballard Power,資本設備 / 轉機或成長,Forward PE,-40.460567,,27.214564,27.214564,23.629231,38.411583,-2.486725,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,NEE,NEE,NextEra Energy,公用事業 / 資本密集,Forward PE,19.784397,,16.932907,16.932907,15.293657,18.660067,0.168399,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,CEG,CEG,Constellation Energy,公用事業 / 資本密集,Forward PE,21.120787,,16.932907,16.932907,15.293657,18.660067,0.247322,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,VST,VST,Vistra,公用事業 / 資本密集,Forward PE,14.623195,,16.932907,16.932907,15.293657,18.660067,-0.136404,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,NRG,NRG,NRG Energy,公用事業 / 資本密集,Forward PE,11.522652,,16.932907,16.932907,15.293657,18.660067,-0.319511,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,DUK,DUK,Duke Energy,公用事業 / 資本密集,Forward PE,17.121048,,16.932907,16.932907,15.293657,18.660067,0.011111,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,SO,SO,Southern Company,公用事業 / 資本密集,Forward PE,18.720613,,16.932907,16.932907,15.293657,18.660067,0.105576,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,AEP,AEP,American Electric Power,公用事業 / 資本密集,Forward PE,18.478428,,16.932907,16.932907,15.293657,18.660067,0.091273,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,EXC,EXC,Exelon,公用事業 / 資本密集,Forward PE,15.02586,,16.932907,16.932907,15.293657,18.660067,-0.112624,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,PEG,PEG,PSEG,公用事業 / 資本密集,Forward PE,16.744766,,16.932907,16.932907,15.293657,18.660067,-0.011111,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,SRE,SRE,Sempra,公用事業 / 資本密集,Forward PE,16.097048,,16.932907,16.932907,15.293657,18.660067,-0.049363,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,OKLO,OKLO,Oklo,公用事業 / 資本密集,Forward PE,-79.71204,,16.932907,16.932907,15.293657,18.660067,-5.707522,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,SMR,SMR,NuScale Power,公用事業 / 資本密集,Forward PE,-18.907345,,16.932907,16.932907,15.293657,18.660067,-2.116604,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,FCX,FCX,Freeport-McMoRan,材料 / 化學品,Forward PE,17.624323,,17.168805,17.168805,15.428821,21.498652,0.026532,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,SCCO,SCCO,Southern Copper,材料 / 化學品,Forward PE,29.095146,,17.168805,17.168805,15.428821,21.498652,0.694652,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,TECK,TECK,Teck Resources,材料 / 化學品,Forward PE,22.140373,,17.168805,17.168805,15.428821,21.498652,0.28957,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,BHP,BHP,BHP,材料 / 化學品,Forward PE,16.713287,,17.168805,17.168805,15.428821,21.498652,-0.026532,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,RIO,RIO,Rio Tinto,材料 / 化學品,Forward PE,12.004866,,17.168805,17.168805,15.428821,21.498652,-0.300775,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,NUE,NUE,Nucor,材料 / 化學品,Forward PE,15.838202,,17.168805,17.168805,15.428821,21.498652,-0.077501,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,STLD,STLD,Steel Dynamics,材料 / 化學品,Forward PE,15.292361,,17.168805,17.168805,15.428821,21.498652,-0.109294,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,AA,AA,Alcoa,材料 / 化學品,Forward PE,11.526334,,17.168805,17.168805,15.428821,21.498652,-0.328647,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,LIN,LIN,Linde,材料 / 化學品,Forward PE,25.250635,,17.168805,17.168805,15.428821,21.498652,0.470728,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
US,APD,APD,Air Products,材料 / 化學品,Forward PE,19.573488,,17.168805,17.168805,15.428821,21.498652,0.140061,0,歷史不足,自身歷史不足，先以同業/目前分布做 fallback
